('EBIT', '8,730,000.00', '10,129,000.00', '13,910,000.00', '6,714,000.00', '1,902,000.00')
         999328 function calls (967565 primitive calls) in 3.339 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      257    0.000    0.000    0.000    0.000 hmac.py:19(<genexpr>)
       55    0.000    0.000    0.000    0.000 __init__.py:255(escape)
      107    0.000    0.000    0.000    0.000 constant.py:397(<lambda>)
      187    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:653(has_location)
       21    0.000    0.000    0.001    0.000 ipaddress.py:1502(__init__)
        2    0.000    0.000    0.007    0.003 cookies.py:1(<module>)
        1    0.000    0.000    0.052    0.052 client.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {method '_wrap_socket' of '_ssl._SSLContext' objects}
       68    0.000    0.000    0.000    0.000 status_codes.py:116(doc)
       38    0.000    0.000    0.002    0.000 typing.py:1458(copy_with)
       31    0.000    0.000    0.000    0.000 _policybase.py:289(_sanitize_header)
        2    0.000    0.000    0.006    0.003 models.py:1(<module>)
        2    0.000    0.000    0.044    0.022 connection.py:1(<module>)
        2    0.000    0.000    0.000    0.000 {function socket.close at 0x7f1c5246f9c0}
       55    0.000    0.000    0.000    0.000 ipaddress.py:156(_split_optional_netmask)
      155    0.000    0.000    0.000    0.000 enum.py:1292(value)
       11    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
      194    0.000    0.000    0.000    0.000 status_codes.py:117(<genexpr>)
        1    0.000    0.000    0.001    0.001 _text.py:1(<module>)
        3    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
       81    0.000    0.000    0.001    0.000 typing.py:1454(<genexpr>)
        1    0.000    0.000    0.966    0.966 connection.py:485(getresponse)
        1    0.000    0.000    0.060    0.060 url.py:1(<module>)
       40    0.000    0.000    0.289    0.007 models.py:816(generate)
       42    0.000    0.000    0.000    0.000 structures.py:46(__setitem__)
      102    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
       33    0.000    0.000    0.000    0.000 typing.py:1178(__getattr__)
      160    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1573(<genexpr>)
        9    0.000    0.000    0.000    0.000 __init__.py:1377(getLogger)
    42/33    0.000    0.000    0.005    0.000 typing.py:508(__getitem__)
       10    0.000    0.000    0.000    0.000 parse.py:374(urlparse)
       73    0.000    0.000    0.000    0.000 _parser.py:304(checkgroupname)
      131    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
      160    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1153(__init__)
        1    0.000    0.000    0.014    0.014 css_match.py:1(<module>)
       97    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
        2    0.000    0.000    0.125    0.062 exceptions.py:1(<module>)
        1    0.000    0.000    0.063    0.063 connectionpool.py:1(<module>)
        2    0.000    0.000    0.000    0.000 request.py:2505(getproxies_environment)
        1    0.000    0.000    0.000    0.000 ipaddress.py:671(_BaseNetwork)
        1    0.000    0.000    0.024    0.024 cookiejar.py:1(<module>)
      160    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1178(get_filename)
        3    0.000    0.000    0.045    0.015 response.py:1(<module>)
        1    0.000    0.000    0.044    0.044 adapters.py:1(<module>)
       46    0.000    0.000    0.000    0.000 ipaddress.py:1755(_parse_hextet)
        1    0.000    0.000    0.000    0.000 stringprep.py:1(<module>)
        1    0.000    0.000    0.001    0.001 connection.py:369(request)
        4    0.000    0.000    0.000    0.000 message.py:596(get_content_type)
      103    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        5    0.000    0.000    0.000    0.000 client.py:1292(putheader)
        4    0.000    0.000    0.002    0.000 feedparser.py:176(_call_parse)
    46/27    0.000    0.000    0.000    0.000 typing.py:1573(__hash__)
      160    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:986(create_module)
       25    0.000    0.000    0.000    0.000 message.py:511(set_raw)
       12    0.000    0.000    0.000    0.000 queue.py:154(get)
       32    0.000    0.000    0.000    0.000 utils.py:52(_has_surrogates)
       44    0.000    0.000    0.000    0.000 enum.py:1394(_iter_member_by_value_)
        1    0.000    0.000    0.006    0.006 parse.py:1(<module>)
      141    0.000    0.000    0.000    0.000 {method 'isascii' of 'str' objects}
       54    0.000    0.000    0.000    0.000 enum.py:785(__delattr__)
       30    0.000    0.000    0.000    0.000 feedparser.py:77(readline)
        1    0.000    0.000    0.000    0.000 errors.py:45(NoBoundaryInMultipartDefect)
       71    0.000    0.000    0.000    0.000 element.py:387(_last_descendant)
       66    0.000    0.000    0.000    0.000 <frozen os>:703(__iter__)
        1    0.000    0.000    0.000    0.000 ssl.py:1309(_real_close)
       31    0.000    0.000    0.001    0.000 ipaddress.py:1286(__init__)
    68/37    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
        2    0.000    0.000    0.009    0.004 abc.py:1(<module>)
       68    0.000    0.000    0.000    0.000 <frozen os>:766(decode)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:662(spec_from_loader)
       13    0.000    0.000    0.001    0.000 {method 'decode' of 'bytearray' objects}
       69    0.000    0.000    0.001    0.000 status_codes.py:122(<genexpr>)
      130    0.000    0.000    0.000    0.000 enum.py:942(<lambda>)
       12    0.000    0.000    0.000    0.000 enum.py:1008(_find_data_type_)
        1    0.000    0.000    0.097    0.097 ssl.py:956(_create)
        1    0.000    0.000    1.227    1.227 adapters.py:613(send)
       14    0.000    0.000    0.048    0.003 css_parser.py:1135(process_selectors)
       31    0.000    0.000    0.000    0.000 _policybase.py:319(header_fetch_parse)
       30    0.000    0.000    0.000    0.000 feedparser.py:127(__next__)
        1    0.000    0.000    0.001    0.001 encoder.py:1(<module>)
       34    0.000    0.000    0.000    0.000 ipaddress.py:1631(_make_netmask)
       54    0.000    0.000    0.000    0.000 {built-in method builtins.delattr}
        1    0.000    0.000    0.006    0.006 shutil.py:1(<module>)
      114    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
       13    0.000    0.000    0.000    0.000 _compiler.py:391(_bytes_to_codes)
      114    0.000    0.000    0.000    0.000 __init__.py:429(<genexpr>)
    46/45    0.000    0.000    0.000    0.000 typing.py:1258(__hash__)
       66    0.000    0.000    0.000    0.000 <frozen _collections_abc>:868(__iter__)
        1    0.000    0.000    0.045    0.045 sessions.py:1(<module>)
        1    0.000    0.000    0.001    0.001 random.py:1(<module>)
       29    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
        8    0.000    0.000    0.002    0.000 _htmlparser.py:182(handle_charref)
        2    0.000    0.000    0.000    0.000 functools.py:818(dispatch)
        1    0.000    0.000    0.050    0.050 compat.py:1(<module>)
       11    0.000    0.000    0.000    0.000 queue.py:122(put)
        1    0.000    0.000    0.005    0.005 _common.py:1(<module>)
        2    0.000    0.000    0.004    0.002 core.py:1(<module>)
        1    0.000    0.000    0.003    0.003 <frozen ntpath>:1(<module>)
        3    0.000    0.000    0.000    0.000 typing.py:1721(_get_protocol_attrs)
        1    0.000    0.000    1.520    1.520 sessions.py:673(send)
        2    0.000    0.000    0.059    0.029 api.py:1(<module>)
        1    0.000    0.000    0.870    0.870 client.py:291(_read_status)
       19    0.000    0.000    0.000    0.000 typing.py:2476(overload)
       12    0.000    0.000    0.000    0.000 typing.py:1096(_generic_init_subclass)
        1    0.000    0.000    0.000    0.000 _collections.py:335(extend)
        1    0.000    0.000    0.965    0.965 client.py:324(begin)
        1    0.000    0.000    0.067    0.067 ssl_.py:1(<module>)
        1    0.000    0.000    0.000    0.000 message.py:483(items)
        1    0.000    0.000    0.097    0.097 connection.py:846(_ssl_wrap_socket_and_match_hostname)
        1    0.000    0.000    0.012    0.012 cd.py:1(<module>)
       16    0.000    0.000    0.115    0.007 css_parser.py:296(__init__)
      113    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
        4    0.000    0.000    0.000    0.000 {method 'write' of '_io.StringIO' objects}
        2    0.000    0.000    0.000    0.000 cookiejar.py:1599(make_cookies)
       22    0.000    0.000    0.001    0.000 ipaddress.py:1187(_ip_int_from_string)
        1    0.000    0.000    0.258    0.258 connection.py:669(connect)
        6    0.000    0.000    0.000    0.000 enum.py:513(__prepare__)
        1    0.000    0.000    0.138    0.138 dammit.py:1(<module>)
        1    0.000    0.000    0.000    0.000 cp1252.py:1(<module>)
        1    0.000    0.000    0.007    0.007 css_types.py:1(<module>)
        1    0.000    0.000    0.003    0.003 sessions.py:457(prepare_request)
      110    0.000    0.000    0.000    0.000 ipaddress.py:574(__int__)
        2    0.000    0.000    0.044    0.022 parser.py:1(<module>)
       25    0.000    0.000    0.000    0.000 ipaddress.py:474(_prefix_from_prefix_string)
       33    0.000    0.000    0.000    0.000 typing.py:317(_deduplicate)
       67    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'bind' of '_socket.socket' objects}
       20    0.000    0.000    0.000    0.000 <frozen _collections_abc>:892(__iter__)
        1    0.000    0.000    0.002    0.002 fields.py:1(<module>)
       14    0.000    0.000    0.000    0.000 hashlib.py:126(__get_openssl_constructor)
        2    0.000    0.000    0.000    0.000 parse.py:452(urlsplit)
        1    0.000    0.000    0.002    0.002 calendar.py:1(<module>)
       34    0.000    0.000    0.000    0.000 typing.py:295(_check_generic)
       75    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_iscased}
        1    0.000    0.000    0.356    0.356 element.py:1(<module>)
        6    0.000    0.000    0.000    0.000 abc.py:41(_register)
       27    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
        1    0.000    0.000    0.003    0.003 poolmanager.py:1(<module>)
      7/1    0.000    0.000    0.000    0.000 functools.py:687(_c3_mro)
        8    0.000    0.000    0.000    0.000 __init__.py:1428(_fixupParents)
        3    0.000    0.000    0.000    0.000 cookies.py:521(cookiejar_from_dict)
       10    0.000    0.000    0.000    0.000 socket.py:100(_intenum_converter)
       45    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        3    0.000    0.000    0.000    0.000 feedparser.py:100(push)
        2    0.000    0.000    0.003    0.001 _collections.py:1(<module>)
        5    0.000    0.000    0.000    0.000 typing.py:1548(__getitem__)
        2    0.000    0.000    0.000    0.000 pathlib.py:387(_parse_path)
        9    0.000    0.000    0.002    0.000 typing.py:740(Optional)
       43    0.000    0.000    0.000    0.000 enum.py:70(_is_internal_class)
        1    0.000    0.000    0.002    0.002 ssl_.py:219(create_urllib3_context)
       34    0.000    0.000    0.000    0.000 ipaddress.py:1885(_split_scope_id)
        7    0.000    0.000    0.000    0.000 typing.py:1966(__init_subclass__)
        3    0.000    0.000    0.000    0.000 typing.py:1047(_generic_class_getitem)
       25    0.000    0.000    0.000    0.000 structures.py:58(<genexpr>)
       21    0.000    0.000    0.000    0.000 ipaddress.py:1161(_make_netmask)
        1    0.000    0.000    0.000    0.000 css_parser.py:667(parse_pseudo_nth)
        7    0.000    0.000    0.000    0.000 functools.py:660(_c3_merge)
        6    0.000    0.000    0.000    0.000 enum.py:1035(_find_new_)
        2    0.000    0.000    0.000    0.000 url.py:367(parse_url)
        1    0.000    0.000    0.139    0.139 formatter.py:1(<module>)
       37    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
       26    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
       37    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        4    0.000    0.000    0.001    0.000 ssl.py:399(__new__)
        1    0.000    0.000    0.001    0.001 message.py:135(Message)
        1    0.000    0.000    0.000    0.000 dammit.py:522(UnicodeDammit)
       44    0.000    0.000    0.000    0.000 enum.py:117(_iter_bits_lsb)
        1    0.000    0.000    0.000    0.000 ssl.py:1200(sendall)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:501(_requires_builtin_wrapper)
        1    0.000    0.000    0.000    0.000 {built-in method today}
        1    0.000    0.000    1.225    1.225 connectionpool.py:377(_make_request)
        1    0.000    0.000    1.225    1.225 connectionpool.py:592(urlopen)
        4    0.000    0.000    0.000    0.000 message.py:29(_splitparam)
        1    0.000    0.000    0.097    0.097 ssl_.py:390(ssl_wrap_socket)
        1    0.000    0.000    0.002    0.002 parser.py:41(parse)
        1    0.000    0.000    0.562    0.562 __init__.py:122(__init__)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
        1    0.000    0.000    0.000    0.000 ssl.py:504(set_alpn_protocols)
        1    0.000    0.000    0.000    0.000 ssl.py:542(minimum_version)
        1    0.000    0.000    0.001    0.001 mimetypes.py:1(<module>)
        9    0.000    0.000    0.000    0.000 __init__.py:2149(getLogger)
        1    0.000    0.000    0.160    0.160 connection.py:192(_new_conn)
        1    0.000    0.000    0.002    0.002 cookiejar.py:1246(CookieJar)
       17    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:989(create_module)
        1    0.000    0.000    0.002    0.002 hashlib.py:1(<module>)
        2    0.000    0.000    0.002    0.001 _adapters.py:1(<module>)
       12    0.000    0.000    0.000    0.000 enum.py:967(_get_mixins_)
        8    0.000    0.000    0.000    0.000 formatter.py:49(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
        1    0.000    0.000    0.002    0.002 ipaddress.py:2314(_IPv6Constants)
        1    0.000    0.000    0.120    0.120 css_parser.py:418(CSSParser)
        1    0.000    0.000    0.001    0.001 adapters.py:359(build_response)
       62    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_tolower}
        1    0.000    0.000    0.000    0.000 _policybase.py:99(_extend_docstrings)
       26    0.000    0.000    0.000    0.000 enum.py:1404(_iter_member_by_def_)
      9/7    0.000    0.000    0.009    0.001 <frozen importlib._bootstrap_external>:1287(create_module)
        1    0.000    0.000    0.000    0.000 retry.py:387(is_retry)
       14    0.000    0.000    0.000    0.000 css_parser.py:449(__init__)
        1    0.000    0.000    0.160    0.160 connection.py:27(create_connection)
        1    0.000    0.000    0.059    0.059 _request_methods.py:1(<module>)
        1    0.000    0.000    0.001    0.001 timeout.py:1(<module>)
       10    0.000    0.000    0.000    0.000 _functools.py:75(wrapper)
        1    0.000    0.000    0.000    0.000 response.py:40(assert_header_parsing)
       24    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
        2    0.000    0.000    0.000    0.000 <frozen posixpath>:256(expanduser)
        3    0.000    0.000    0.002    0.001 feedparser.py:171(feed)
       18    0.000    0.000    0.000    0.000 structures.py:51(__getitem__)
       20    0.000    0.000    0.000    0.000 __init__.py:234(_acquireLock)
        1    0.000    0.000    0.000    0.000 css_match.py:79(_DocumentNav)
        7    0.000    0.000    0.000    0.000 sessions.py:61(merge_setting)
        6    0.000    0.000    0.001    0.000 structures.py:40(__init__)
       14    0.000    0.000    0.000    0.000 parse.py:119(_coerce_args)
        9    0.000    0.000    0.000    0.000 __init__.py:1497(__init__)
        2    0.000    0.000    0.000    0.000 client.py:430(close)
        1    0.000    0.000    0.002    0.002 message.py:1(<module>)
        1    0.000    0.000    0.068    0.068 socket.py:946(getaddrinfo)
       20    0.000    0.000    0.000    0.000 __init__.py:243(_releaseLock)
       46    0.000    0.000    0.000    0.000 {method 'issuperset' of 'frozenset' objects}
       12    0.000    0.000    0.000    0.000 <frozen _collections_abc>:804(get)
        1    0.000    0.000    0.000    0.000 {built-in method zlib.decompressobj}
        1    0.000    0.000    0.000    0.000 ssl.py:944(SSLSocket)
       51    0.000    0.000    0.000    0.000 element.py:1624(__eq__)
       26    0.000    0.000    0.000    0.000 _collections.py:289(__iter__)
       13    0.000    0.000    0.000    0.000 {method 'tolist' of 'memoryview' objects}
        4    0.000    0.000    0.000    0.000 functools.py:852(register)
        5    0.000    0.000    0.000    0.000 __init__.py:928(__init__)
        4    0.000    0.000    0.000    0.000 url.py:301(_normalize_host)
        9    0.000    0.000    0.000    0.000 parse.py:164(hostname)
       24    0.000    0.000    0.000    0.000 {method 'split' of 'bytes' objects}
        5    0.000    0.000    0.000    0.000 connection.py:355(putheader)
       22    0.000    0.000    0.000    0.000 threading.py:394(notify)
        2    0.000    0.000    0.000    0.000 __init__.py:43(normalize_encoding)
       39    0.000    0.000    0.000    0.000 __init__.py:609(__missing__)
        5    0.000    0.000    0.000    0.000 {method 'fullmatch' of 're.Pattern' objects}
       12    0.000    0.000    0.000    0.000 <frozen os>:680(__getitem__)
        2    0.000    0.000    0.001    0.001 __init__.py:71(search_function)
        6    0.000    0.000    0.000    0.000 cookiejar.py:1227(deepvalues)
        7    0.000    0.000    0.000    0.000 utils.py:345(to_key_val_list)
        1    0.000    0.000    0.000    0.000 __init__.py:365(Distribution)
        1    0.000    0.000    0.000    0.000 tempfile.py:1(<module>)
        1    0.000    0.000    0.000    0.000 connectionpool.py:175(__init__)
        1    0.000    0.000    0.004    0.004 decoder.py:1(<module>)
        3    0.000    0.000    0.000    0.000 element.py:2155(__init__)
       23    0.000    0.000    0.000    0.000 threading.py:299(__enter__)
       23    0.000    0.000    0.000    0.000 threading.py:302(__exit__)
        1    0.000    0.000    0.008    0.008 header.py:1(<module>)
        7    0.000    0.000    0.000    0.000 typing.py:1822(__new__)
       23    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.lock' objects}
        7    0.000    0.000    0.000    0.000 {method '__init_subclass__' of 'object' objects}
        1    0.000    0.000    0.002    0.002 utils.py:204(get_netrc_auth)
        1    0.000    0.000    0.000    0.000 _legacy.py:1(<module>)
        1    0.000    0.000    0.000    0.000 models.py:409(prepare_url)
        2    0.000    0.000    0.001    0.000 util.py:1(<module>)
        2    0.000    0.000    0.000    0.000 typing.py:2186(get_type_hints)
        1    0.000    0.000    0.000    0.000 client.py:1263(_encode_request)
        1    0.000    0.000    0.000    0.000 traceback.py:1(<module>)
        2    0.000    0.000    0.003    0.001 readers.py:1(<module>)
       10    0.000    0.000    0.000    0.000 parse.py:205(_hostinfo)
       26    0.000    0.000    0.000    0.000 {method 'popleft' of 'collections.deque' objects}
        1    0.000    0.000    0.004    0.004 filepost.py:1(<module>)
       23    0.000    0.000    0.000    0.000 queue.py:248(_qsize)
       22    0.000    0.000    0.000    0.000 threading.py:314(_is_owned)
       22    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 client.py:1136(putrequest)
        3    0.000    0.000    0.501    0.167 element.py:2013(find_all)
        1    0.000    0.000    0.000    0.000 pathlib.py:826(Path)
        1    0.000    0.000    0.001    0.001 base64.py:1(<module>)
       12    0.000    0.000    0.000    0.000 <frozen os>:762(encode)
        1    0.000    0.000    0.003    0.003 ipaddress.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:60(Sectioned)
       26    0.000    0.000    0.000    0.000 <frozen abc>:110(register)
        1    0.000    0.000    0.001    0.001 selectors.py:1(<module>)
        2    0.000    0.000    0.000    0.000 adapters.py:202(__init__)
        1    0.000    0.000    0.003    0.003 client.py:231(_parse_header_lines)
        1    0.000    0.000    0.001    0.001 errors.py:1(<module>)
       43    0.000    0.000    0.000    0.000 enum.py:93(_is_single_bit)
        1    0.000    0.000    0.000    0.000 _compression.py:33(DecompressReader)
        1    0.000    0.000    0.002    0.002 queue.py:1(<module>)
        1    0.000    0.000    0.000    0.000 struct.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:1452(_fixupChildren)
        1    0.000    0.000    0.078    0.078 _base_connection.py:1(<module>)
        1    0.000    0.000    0.000    0.000 csv.py:1(<module>)
       10    0.000    0.000    0.000    0.000 _text.py:79(__hash__)
       17    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:997(exec_module)
        4    0.000    0.000    0.000    0.000 cookiejar.py:1261(__init__)
        1    0.000    0.000    1.523    1.523 sessions.py:500(request)
        1    0.000    0.000    0.000    0.000 response.py:577(__init__)
        1    0.000    0.000    0.000    0.000 models.py:658(__init__)
        7    0.000    0.000    0.000    0.000 contextlib.py:272(contextmanager)
        6    0.000    0.000    0.000    0.000 enum.py:383(__init__)
        2    0.000    0.000    0.000    0.000 cookies.py:124(extract_cookies_to_jar)
        3    0.000    0.000    0.000    0.000 idna.py:155(encode)
        3    0.000    0.000    0.000    0.000 retry.py:202(__init__)
        1    0.000    0.000    0.000    0.000 mimetypes.py:402(_default_mime_types)
        1    0.000    0.000    0.026    0.026 _policybase.py:1(<module>)
        1    0.000    0.000    0.000    0.000 poolmanager.py:95(_default_key_normalizer)
        6    0.000    0.000    0.000    0.000 enum.py:957(_check_for_existing_members_)
       36    0.000    0.000    0.000    0.000 <frozen _collections_abc>:435(__subclasshook__)
        1    0.000    0.000    0.016    0.016 _htmlparser.py:1(<module>)
        9    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1295(exec_module)
        1    0.000    0.000    0.001    0.001 ipaddress.py:1569(_IPv4Constants)
        6    0.000    0.000    0.000    0.000 parse.py:825(__getattr__)
        1    0.000    0.000    0.000    0.000 socket.py:304(makefile)
        1    0.000    0.000    0.000    0.000 response.py:316(__init__)
        1    0.000    0.000    0.001    0.001 _meta.py:8(PackageMetadata)
        1    0.000    0.000    0.000    0.000 __init__.py:919(Handler)
        1    0.000    0.000    0.001    0.001 retry.py:1(<module>)
        2    0.000    0.000    0.000    0.000 cookiejar.py:1680(extract_cookies)
        1    0.000    0.000    0.000    0.000 models.py:11(CharsetMatch)
        1    0.000    0.000    0.001    0.001 lzma.py:1(<module>)
        1    0.000    0.000    0.000    0.000 connection.py:82(HTTPConnection)
        3    0.000    0.000    0.000    0.000 poolmanager.py:199(__init__)
        9    0.000    0.000    0.000    0.000 url.py:330(_idna_encode)
        1    0.000    0.000    0.003    0.003 __meta__.py:1(<module>)
        4    0.000    0.000    0.000    0.000 {method 'read' of '_io.StringIO' objects}
       43    0.000    0.000    0.000    0.000 enum.py:820(<genexpr>)
       14    0.000    0.000    0.000    0.000 util.py:19(to_str)
        1    0.000    0.000    0.000    0.000 element.py:144(PageElement)
        1    0.000    0.000    0.028    0.028 feedparser.py:1(<module>)
        5    0.000    0.000    0.000    0.000 typing.py:1415(__mro_entries__)
        1    0.000    0.000    0.003    0.003 core.py:21(where)
        1    0.000    0.000    0.000    0.000 auth.py:1(<module>)
        9    0.000    0.000    0.000    0.000 __init__.py:183(__new__)
        1    0.000    0.000    0.000    0.000 feedparser.py:137(__init__)
        1    0.000    0.000    0.000    0.000 ssl.py:422(SSLContext)
        2    0.000    0.000    0.000    0.000 functools.py:188(total_ordering)
        1    0.000    0.000    0.001    0.001 _meta.py:1(<module>)
        1    0.000    0.000    0.000    0.000 <frozen os>:44(_get_exports_list)
        1    0.000    0.000    0.002    0.002 _internal_utils.py:1(<module>)
       15    0.000    0.000    0.000    0.000 __init__.py:208(_checkLevel)
        3    0.000    0.000    0.000    0.000 contextlib.py:104(__init__)
       14    0.000    0.000    0.000    0.000 {method 'cast' of 'memoryview' objects}
        7    0.000    0.000    0.000    0.000 cp1252.py:14(decode)
        1    0.000    0.000    0.000    0.000 element.py:1191(Tag)
        7    0.000    0.000    0.000    0.000 _legacy.py:15(deprecated)
        6    0.000    0.000    0.000    0.000 _policybase.py:94(_append_doc)
        1    0.000    0.000    0.000    0.000 models.py:483(prepare_headers)
        1    0.000    0.000    1.524    1.524 api.py:14(request)
        1    0.000    0.000    0.000    0.000 sessions.py:390(__init__)
        1    0.000    0.000    0.060    0.060 css_parser.py:316(__init__)
        1    0.000    0.000    0.000    0.000 connectionpool.py:1170(_close_pool_connections)
        1    0.000    0.000    0.005    0.005 pretty.py:1(<module>)
        5    0.000    0.000    0.000    0.000 {method 'settimeout' of '_socket.socket' objects}
        7    0.000    0.000    0.000    0.000 typing.py:1841(__init__)
       24    0.000    0.000    0.000    0.000 {method 'release' of '_thread.RLock' objects}
        5    0.000    0.000    0.000    0.000 connection.py:404(<genexpr>)
        1    0.000    0.000    0.000    0.000 _collections.py:240(__init__)
        1    0.000    0.000    0.000    0.000 cookiejar.py:1356(add_cookie_header)
       10    0.000    0.000    0.000    0.000 connection.py:357(<genexpr>)
        2    0.000    0.000    0.000    0.000 contextlib.py:141(__exit__)
        1    0.000    0.000    0.001    0.001 models.py:351(prepare)
        1    0.000    0.000    0.000    0.000 pathlib.py:291(PurePath)
        1    0.000    0.000    0.000    0.000 tempfile.py:824(SpooledTemporaryFile)
        1    0.000    0.000    0.000    0.000 cookies.py:236(Morsel)
        7    0.000    0.000    0.000    0.000 _parser.py:893(_parse_flags)
        7    0.000    0.000    0.000    0.000 {built-in method _codecs.charmap_decode}
        1    0.000    0.000    0.000    0.000 feedparser.py:52(__init__)
       25    0.000    0.000    0.000    0.000 ipaddress.py:431(_ip_int_from_prefix)
        1    0.000    0.000    0.000    0.000 _adapters.py:40(CompatibilityFiles)
        5    0.000    0.000    0.000    0.000 __init__.py:892(_addHandlerRef)
       25    0.000    0.000    0.000    0.000 <frozen abc>:7(abstractmethod)
       15    0.000    0.000    0.000    0.000 ssl.py:938(_sslcopydoc)
        1    0.000    0.000    0.001    0.001 charset.py:1(<module>)
        3    0.000    0.000    0.000    0.000 pathlib.py:357(__init__)
        1    0.000    0.000    0.001    0.001 status_codes.py:1(<module>)
        1    0.000    0.000    0.000    0.000 formatter.py:3(Formatter)
        1    0.000    0.000    0.000    0.000 intranges.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _markupbase.py:23(ParserBase)
        2    0.000    0.000    0.000    0.000 _collections.py:141(clear)
        3    0.000    0.000    0.000    0.000 {built-in method _csv.register_dialect}
        1    0.000    0.000    0.000    0.000 utils.py:765(should_bypass_proxies)
        2    0.000    0.000    0.000    0.000 pathlib.py:407(_load_parts)
        2    0.000    0.000    0.000    0.000 timeout.py:188(clone)
        2    0.000    0.000    0.000    0.000 url.py:263(_remove_path_dot_segments)
        2    0.000    0.000    0.000    0.000 pathlib.py:551(drive)
        8    0.000    0.000    0.000    0.000 utils.py:1045(_validate_header_part)
        1    0.000    0.000    0.000    0.000 response.py:544(HTTPResponse)
        1    0.000    0.000    0.000    0.000 __init__.py:1266(ZipFile)
        1    0.000    0.000    0.001    0.001 idna.py:1(<module>)
        1    0.000    0.000    0.000    0.000 connectionpool.py:120(HTTPConnectionPool)
        1    0.000    0.000    0.000    0.000 parser.py:17(__init__)
        2    0.000    0.000    0.000    0.000 functools.py:800(singledispatch)
        1    0.000    0.000    0.000    0.000 ssltransport.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:58(check_compatibility)
        3    0.000    0.000    0.000    0.000 _collections.py:82(__init__)
        1    0.000    0.000    0.000    0.000 client.py:252(HTTPResponse)
       16    0.000    0.000    0.000    0.000 enum.py:1692(_simple_enum)
        3    0.000    0.000    0.000    0.000 pathlib.py:1159(__init__)
        1    0.000    0.000    0.095    0.095 client.py:245(parse_headers)
       15    0.000    0.000    0.000    0.000 functools.py:65(wraps)
        1    0.000    0.000    0.001    0.001 socks.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x7f1c522d7920}
        1    0.000    0.000    0.000    0.000 {method 'getsockopt' of '_socket.socket' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:484(reset)
        1    0.000    0.000    0.000    0.000 textwrap.py:419(dedent)
        1    0.000    0.000    0.965    0.965 client.py:1384(getresponse)
        1    0.000    0.000    0.000    0.000 ssltransport.py:22(SSLTransport)
        3    0.000    0.000    0.292    0.097 models.py:890(content)
        2    0.000    0.000    0.000    0.000 _functools.py:6(method_cache)
       11    0.000    0.000    0.000    0.000 queue.py:254(_get)
        1    0.000    0.000    0.097    0.097 ssl.py:1313(do_handshake)
        6    0.000    0.000    0.000    0.000 enum.py:986(_find_data_repr_)
