('EBIT', '8,730,000.00', '10,129,000.00', '13,910,000.00', '6,714,000.00', '1,902,000.00')
         999328 function calls (967565 primitive calls) in 3.339 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2711    0.004    0.000    0.006    0.000 element.py:1371(is_empty_element)
     2709    0.004    0.000    0.006    0.000 __init__.py:773(handle_data)
       16    0.004    0.000    0.011    0.001 enum.py:1708(convert_class)
      303    0.004    0.000    0.401    0.001 __init__.py:280(_compile)
      121    0.004    0.000    0.011    0.000 _compiler.py:467(_get_charset_prefix)
      895    0.004    0.000    0.006    0.000 _compiler.py:216(_compile_charset)
     3818    0.003    0.000    0.003    0.000 {method 'add' of 'set' objects}
      325    0.003    0.000    0.012    0.000 css_parser.py:1094(selector_iter)
      160    0.003    0.000    0.027    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
      160    0.003    0.000    0.003    0.000 {method '__exit__' of '_io._IOBase' objects}
     2481    0.003    0.000    0.007    0.000 css_parser.py:307(match)
     4644    0.003    0.000    0.003    0.000 _parser.py:113(__init__)
      802    0.003    0.000    0.005    0.000 _parser.py:372(_escape)
       20    0.003    0.000    0.003    0.000 {built-in method posix.listdir}
     3683    0.003    0.000    0.003    0.000 {method 'find' of 'bytearray' objects}
       11    0.003    0.000    0.292    0.027 {method 'join' of 'bytes' objects}
     2756    0.003    0.000    0.004    0.000 {built-in method builtins.max}
     2712    0.003    0.000    0.003    0.000 __init__.py:205(can_be_empty_element)
     1057    0.003    0.000    0.006    0.000 _parser.py:312(_class_escape)
      210    0.003    0.000    0.051    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
     2881    0.003    0.000    0.003    0.000 {method 'strip' of 'str' objects}
      254    0.003    0.000    0.008    0.000 <frozen importlib._bootstrap>:304(acquire)
      160    0.003    0.000    0.069    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
     1425    0.003    0.000    0.004    0.000 enum.py:1544(_get_value)
    213/4    0.003    0.000    0.745    0.186 <frozen importlib._bootstrap>:1349(_find_and_load)
